ax,ay,az,gx,gy,gz,label
1.446533,-0.1577148,0.8933105,87.90839,63.39695,161.6794,0,10
1.446289,-0.1945801,0.4956055,110.2214,17.86259,147.6565,0,10
1.444824,-0.3830566,0.2282715,177.458,21.13741,4.015267,0,10
1.444336,0.1469727,-0.3608398,14.54962,-73.21374,63.27481,0,1
1.444092,-0.06005859,-1.044434,250.1298,102.6183,-250.1374,0,10
1.443604,-0.5830078,-1.069336,66.42748,46.29008,-196.5725,0,10
1.440186,-0.2583008,0.9042969,63.57252,124.8855,143.4046,0,10
1.435303,-0.05126953,-1.216309,-21.86259,6.335878,2.503817,0,1
1.429932,-0.5537109,-0.4018555,168.7481,-18.29771,-105.2443,0,10
1.428223,0.126709,0.1062012,183.0305,-57.25954,47.91603,0,1
1.425049,0.543457,1.517578,-250.1374,66.86259,-90.39695,0,10
1.422363,-0.3017578,0.3552246,173.0458,19.92366,35.19084,0,10
1.416504,-0.2937012,0.5998535,144.313,37.00763,28.60305,0,10
1.404053,-0.2033691,0.777832,116.5343,40.73283,106.2061,0,10
1.396729,-0.1064453,-1.133301,-38.53435,-33.44275,13.61832,0,1
1.39624,-0.4052734,0.1208496,163.6183,20.23664,-26.35878,0,10
1.394043,-0.2260742,0.8447266,167.0,103.0382,66.75572,0,10
1.391602,-0.6813965,-0.1723633,175.9084,42.56488,-125.2443,0,10
1.390625,-0.3911133,-0.1391602,189.1908,-43.24427,-99.49619,0,10
1.390381,0.1499023,-0.5161133,166.4351,-24.85496,-0.8549618,0,1
1.38501,-0.08251953,-1.047607,-94.79389,18.00763,-30.73282,0,1
1.383789,0.08642578,0.1687012,20.74809,-71.48092,10.64122,0,0
1.383789,-0.0222168,0.6660156,-52.69466,1.442748,159.8702,0,10
1.376953,0.2385254,1.147949,-76.8168,-16.22901,33.63359,0,10
-1.373291,0.0007324219,-0.9362793,-19.64886,-9.908397,97.69466,0,10
1.362793,0.4199219,-0.8339844,24.35878,2.442748,-204.9466,0,10
1.359619,-0.423584,-0.4592285,148.8015,-7.687023,-223.3512,0,10
1.356201,-0.1721191,0.3708496,227.3893,-15.68702,63.85496,0,10
1.355957,0.1149902,-1.317139,-24.78626,15.58779,-16.42748,0,1
1.355469,0.4892578,0.5993652,250.1298,-40.54198,-89.35114,0,10
1.354736,-0.5539551,-0.6435547,250.1298,57.92366,-133.0992,0,10
1.35083,-0.004638672,-0.7683105,182.6565,-35.90076,-121.2748,0,10
1.349121,-0.2258301,0.5986328,123.2977,83.38168,100.0763,0,10
1.349121,-0.1518555,0.8823242,27.84733,63.56488,145.6336,0,10
1.345947,-0.05151367,-1.027588,-95.93893,-8.709924,-27.38168,0,1
1.343994,0.1303711,-1.452393,-56.29771,10.41985,13.01527,0,1
1.340576,0.04711914,-1.179443,-45.51908,17.57252,-23.47328,0,1
1.339844,-0.2912598,-1.217285,-54.36641,-33.28244,-10.66412,0,1
1.3396,-0.4404297,0.5993652,97.77863,63.86259,74.79389,0,10
1.338135,-0.2619629,-1.165283,-44.70992,-33.54962,9.763359,0,1
1.335938,-0.2272949,0.8791504,120.5878,88.17558,65.72519,0,10
1.334229,-0.439209,-0.4455566,213.4122,23.96947,-89.25954,0,10
1.331787,0.02612305,0.8862305,105.9466,43.44275,195.3893,0,10
1.331543,-0.6105957,-0.333252,198.6947,-24.87786,-56.21374,0,10
1.330078,-0.3342285,-1.003906,197.458,23.89313,-250.1374,0,10
1.328857,0.04150391,-1.110352,-54.56488,19.56489,-25.79389,0,1
1.328125,0.3015137,-0.8425293,250.1298,17.26718,-49.29008,0,10
1.327637,0.1213379,-1.409668,-43.03053,15.48092,1.198473,0,1
1.32666,-0.7094727,0.08959961,81.70229,-54.92366,-79.61069,0,10
1.326416,-0.126709,-0.4521484,-6.877862,74.80916,6.458015,0,1
1.323975,-0.03808594,-1.196777,-34.0458,-12.96947,5.290076,0,1
1.322754,-0.2458496,-1.116699,-33.83206,-9.740458,5.625954,0,1
1.321533,-0.3032227,0.5844727,101.2137,58.58779,103.5802,0,10
1.321533,-0.02172852,-1.270264,-60.51145,-2.312977,-2.648855,0,1
-1.321289,0.2709961,-0.3869629,-42.25191,-69.80916,203.687,0,10
1.319336,-0.1960449,-0.07250977,13.03053,-17.09924,-63.27481,0,1
1.317383,0.1450195,-1.010498,-138.1832,140.145,-32.0229,0,1
1.316406,-0.0456543,-1.173096,-44.58015,4.572519,-12.65649,0,1
1.315918,0.8283691,1.080566,250.1298,32.54962,-57.51908,0,10
1.315186,-0.2314453,0.7075195,-250.1374,68.47328,-23.16794,0,10
1.314941,0.07836914,-1.250977,51.01527,-29.0229,26.19084,0,1
1.312256,-0.4377441,-0.6540527,169.084,-68.77863,-211.6794,0,10
1.306396,0.4162598,0.02563477,250.1298,69.54198,-39.9084,0,10
1.304443,0.05200195,0.2770996,-40.27481,250.1298,-78.76336,0,0
1.303711,0.06103516,-1.368408,38.25954,-11.73282,25.19847,0,1
1.30249,-0.1821289,0.5158691,233.0763,26.77863,29.45802,0,10
1.301514,-0.03295898,-0.8203125,-100.0534,19.01527,-38.77099,0,1
1.29834,0.05371094,-1.298828,64.58778,-44.29771,50.49618,0,1
1.297607,0.4086914,0.248291,-29.69466,54.0,-17.67175,0,1
1.295654,0.5622559,0.8359375,250.1298,110.4275,197.4657,0,10
1.291748,-0.0007324219,-1.067139,-49.89313,6.732824,-14.58779,0,1
1.282471,0.06958008,-1.21582,-51.25954,22.0687,-20.62595,0,1
1.28125,0.046875,-1.666504,-29.43511,-10.89313,16.86259,0,1
1.280762,-0.02490234,-1.045654,70.71756,-58.80153,68.26717,0,1
1.280518,0.1225586,-1.18335,-151.3664,107.0153,-31.94657,0,1
1.280029,-0.03637695,-1.058594,-49.29771,-13.74809,-27.36641,0,1
1.273193,0.02905273,-1.163086,-66.42748,37.70992,-33.64122,0,1
1.270752,0.02587891,-1.208252,26.77099,-10.22137,30.72519,0,1
1.269775,-0.6855469,-0.4326172,70.03817,-72.59542,-230.6947,0,10
1.269775,0.02148438,-1.087646,-34.33588,4.160306,1.335878,0,1
1.267822,-0.1518555,1.017822,42.31298,74.96183,131.2214,0,10
1.266113,-0.5324707,-0.7880859,145.2519,-19.47328,-218.4809,0,10
1.265381,-0.3625488,1.136719,210.1756,133.6031,-75.9313,0,10
1.262939,0.1630859,-1.565186,-56.09924,17.01527,7.961832,0,1
1.259521,0.1311035,-1.489746,10.93893,2.664122,21.41221,0,1
1.252197,0.3144531,0.3664551,-11.37405,-25.64886,33.0687,0,1
1.249756,0.1164551,-1.337402,-56.0,20.51145,0.9847328,0,1
1.248047,-0.6313477,-0.6760254,85.53435,-28.39695,-170.5038,0,10
1.248047,0.07275391,-1.240234,-40.59542,15.00763,-15.71756,0,1
1.244873,-0.498291,1.941162,89.96947,75.39695,216.4275,0,10
1.244873,-0.1821289,-0.934082,126.6107,35.98473,-250.1374,0,10
1.243164,0.02587891,-1.275635,33.44275,-10.64122,40.55725,0,1
1.242676,0.2102051,1.417236,-250.1374,119.458,-30.43511,0,10
1.241211,0.137207,-1.345947,-74.78626,27.76336,-9.343512,0,1
1.239746,-0.2373047,0.5063477,163.2366,9.702291,51.13741,0,10
1.234375,-0.1911621,0.5244141,170.8473,52.66412,70.48092,0,10
1.233398,-0.2038574,-1.148926,19.28244,-2.847328,41.79389,0,1
1.233398,-0.02099609,-0.8952637,-72.67175,-5.374046,-22.0458,0,1
1.233154,0.1813965,1.143311,-250.1374,96.35114,-27.9084,0,10
-1.23291,-0.01660156,-2.0,-250.1374,-143.3053,116.7634,0,10
1.227539,0.6750488,-0.3981934,-250.1374,-18.54962,-105.4809,0,10
1.224609,0.1911621,-1.373535,89.12214,-58.16794,50.19847,0,1
1.222656,0.392334,0.2058105,-241.8244,-29.17557,-66.46565,0,10
1.220459,-0.01904297,-0.6289063,-101.5115,19.89313,-38.43512,0,1
1.218262,0.1513672,0.7927246,-182.5725,73.21374,-93.57252,0,10
1.215332,-0.1894531,-0.9165039,-65.03817,-18.38931,-9.343512,0,1
1.2146,-0.08056641,-0.9094238,-74.10687,4.725191,-20.08397,0,1
1.213135,-0.01416016,-1.070313,-83.76336,5.40458,-3.137405,0,1
1.211914,-0.03515625,-0.9333496,-82.9542,30.62595,-54.17557,0,1
1.21167,-0.08203125,0.9382324,48.76336,18.52672,193.3053,0,10
1.206543,0.1777344,-0.2287598,207.458,-105.8473,36.96183,0,1
1.206299,0.1247559,-1.175049,63.64122,-36.67939,37.0687,0,1
1.206299,0.1101074,-1.256348,-59.49618,33.8855,-22.87023,0,1
1.20459,0.4382324,0.7387695,90.82442,-19.77863,38.07634,0,10
1.201904,-0.6660156,-0.2028809,181.6183,7.267176,-154.6031,0,10
1.200928,-0.02783203,-0.9116211,-67.0229,16.44275,-34.27481,0,1
1.200684,0.5874023,-1.010742,250.1298,200.1985,-250.1374,0,10
1.199463,0.1303711,-1.011719,82.16794,-40.45802,31.01527,0,1
1.19873,-0.08398438,-0.8530273,-91.13741,11.41985,-33.55725,0,1
1.197266,0.3505859,-1.140381,185.5802,-98.89313,39.62595,0,10
1.195557,0.6904297,0.980957,250.1298,107.2137,102.0,0,10
1.19458,0.03588867,-1.480713,48.39695,-13.68702,27.08397,0,1
1.194092,0.5380859,0.4606934,250.1298,-4.022901,-92.79389,0,10
1.190186,0.1542969,-1.591797,-56.0687,30.48855,-8.290076,0,1
1.189453,0.1474609,-1.346191,-84.48092,40.03817,-21.37405,0,1
1.188477,0.1425781,-1.260742,-86.34351,37.61832,-12.19847,0,1
1.187988,-0.463623,0.2758789,150.3512,6.832061,-60.55725,0,10
1.186523,0.1462402,-1.474609,0.6564885,2.847328,13.16031,0,1
1.182373,0.1501465,-1.324707,-53.36641,24.69466,-5.473282,0,1
1.182373,0.03564453,-1.122559,-74.19847,33.58015,-31.60305,0,1
1.182129,0.1520996,-1.599365,30.75573,-16.33588,28.69466,0,1
1.178955,0.008789063,-1.114502,96.61069,16.79389,8.648855,0,1
1.177734,-0.05737305,0.1152344,-39.96183,41.27481,-32.61069,0,10
1.17749,-0.1647949,-0.07250977,6.389313,13.50382,21.77863,0,1
1.177002,0.0168457,0.9912109,-50.22137,116.313,171.1145,0,10
1.176514,-0.1975098,-1.147949,-28.15267,3.007634,-9.641221,0,1
-1.17627,-0.1208496,-2.0,-191.4886,-80.83206,210.0458,0,10
1.175781,-0.01342773,-1.125977,-11.96947,32.66412,4.854962,0,1
1.175049,0.09838867,-1.396973,-29.14504,6.221374,10.14504,0,1
1.174316,0.08691406,-1.181152,-79.66412,43.30534,-28.46565,0,1
1.17334,-0.1054688,0.6105957,203.3969,23.77863,-32.74809,0,10
1.172852,0.3823242,0.08935547,-40.65649,65.17558,2.244275,0,1
1.171875,0.1162109,-1.148438,-91.62595,42.86259,-28.99237,0,1
1.171387,-0.5749512,-0.317627,112.3817,-13.0229,-218.9924,0,10
1.171143,-0.007324219,1.21167,-170.0076,90.29771,-96.84733,0,10
1.169189,0.6748047,0.08618164,166.0992,-9.717557,-19.29771,0,10
1.167725,0.02270508,-1.129883,72.8855,-23.18321,39.72519,0,1
1.16626,-0.04199219,-0.9765625,-88.41985,8.274809,-20.9084,0,1
1.165527,-0.09765625,-0.5817871,-146.7939,-59.03053,-29.83206,0,1
1.162109,-0.185791,0.4772949,199.3282,76.91603,4.366412,0,10
1.159424,0.06762695,-1.108154,-2.198473,1.442748,23.31298,0,1
1.158936,0.0,-0.927002,63.0,-52.51145,83.51908,0,1
1.158691,0.1201172,-1.270508,-97.26717,35.41221,-29.48855,0,1
1.157715,-0.5625,-1.062256,194.8931,22.03817,-250.1374,0,10
1.156006,0.5383301,-2.0,-250.1374,-214.1298,53.65649,0,10
1.154297,0.05029297,-0.9902344,-77.99236,32.16794,-34.17557,0,1
1.152588,0.3742676,0.2414551,-67.98473,-79.9313,-5.625954,0,1
1.1521,-0.08032227,-0.03125,31.81679,61.10687,-51.72519,0,1
1.151855,-0.07543945,-0.8762207,79.00764,-35.76336,65.82442,0,1
1.151123,-0.0007324219,-0.895752,-89.34351,28.24427,-32.8855,0,1
1.14502,0.1704102,1.58252,185.7557,-33.64122,-89.01527,0,10
1.144287,0.1437988,-1.117188,-83.09924,34.45802,-22.81679,0,1
1.144043,0.08764648,1.480713,164.6412,88.03817,206.0534,0,10
1.144043,0.07495117,-0.7177734,250.1298,-10.51145,-32.61069,0,10
1.142822,-0.1652832,-0.517334,-30.62595,-15.48855,-64.51908,0,1
1.141113,0.01708984,-1.401611,53.08397,-13.81679,33.23664,0,1
1.140869,0.002441406,-1.0,88.20611,-31.32061,67.16031,0,1
1.139648,0.6188965,1.870605,250.1298,86.1832,-40.43512,0,10
-1.138916,-0.1115723,-0.3950195,-250.1374,-39.29008,20.30534,0,10
1.138672,0.01953125,-1.238525,47.10687,-15.36641,51.73283,0,1
1.138672,-0.01708984,-0.02050781,0.4122138,0.519084,1.801527,0,0
1.135986,0.1572266,-1.880615,-18.07634,-18.19847,20.21374,0,1
1.135498,0.0534668,0.04492188,20.74046,-56.55725,2.801527,0,1
1.135254,-0.3061523,0.4333496,183.5954,9.755725,52.0229,0,10
1.132568,0.008300781,-0.8291016,-85.07633,36.35115,-48.9313,0,1
1.131592,-0.3625488,1.19165,64.19084,73.52672,81.9313,0,10
1.130859,0.01171875,-0.09594727,-0.07633588,-13.09924,-2.770992,0,1
1.129639,-0.1066895,0.1174316,32.79389,29.03053,19.19847,0,1
1.126953,-0.09667969,0.9084473,83.16031,103.8015,135.5114,0,10
1.125977,-0.01708984,-0.08056641,-0.06870229,-5.549618,1.580153,0,10
1.125,-0.4189453,-1.04126,-192.8931,47.55725,-112.2519,0,10
1.124512,-0.1889648,-0.7145996,-95.0229,-4.89313,-59.89313,0,1
1.124023,0.02832031,-0.1044922,2.290076,-27.41221,-16.05343,0,10
1.123291,-0.177002,-0.7348633,-17.12214,-15.77099,-47.36641,0,1
1.123047,0.05249023,-1.079346,60.96183,-17.58779,40.73283,0,1
1.122314,0.00390625,0.8225098,-80.64122,7.748092,193.9008,0,10
1.121582,-0.2612305,0.53125,-32.00763,6.961832,215.4809,0,10
1.121582,-0.177002,1.136475,215.7252,175.7176,179.1908,0,10
1.121094,0.3305664,1.999939,148.1221,11.26718,-41.98473,0,10
1.12085,1.166504,-0.2687988,250.1298,144.9542,-212.2443,0,10
1.12085,0.05541992,-0.9936523,92.69466,-35.90076,52.67176,0,1
-1.119141,-0.4470215,1.644775,-250.1374,93.61069,119.9008,0,10
1.117188,0.130127,0.09765625,1.358779,-13.54198,9.870229,0,10
1.11499,0.001953125,0.01293945,16.24427,-20.71756,-9.114504,0,1
1.113525,-0.08813477,1.124512,-17.34351,88.38931,121.855,0,10
1.110107,0.1506348,-1.667969,70.75572,-46.72519,34.22137,0,1
1.109375,0.08813477,-0.6503906,149.6641,-71.0458,52.34351,0,1
1.109131,-0.005615234,1.813477,220.3435,12.65649,-36.48092,0,10
1.108398,-0.7233887,0.1474609,-146.9771,86.36641,-42.85496,0,10
1.108398,0.2893066,1.111572,250.1298,-60.36641,-64.78626,0,10
1.107666,0.1037598,-0.3964844,111.9008,-63.06107,59.41221,0,1
1.107666,0.06982422,1.661865,-190.687,54.99237,74.71756,0,10
1.107178,0.07421875,-1.123047,109.229,-43.64885,50.74046,0,1
1.107178,0.02075195,-0.09521484,118.0916,44.51145,-38.25191,0,1
1.106934,-0.02978516,-0.1135254,0.06870229,-1.885496,2.824427,0,0
1.105225,-0.01391602,-0.01806641,0.3129771,1.580153,0.9923664,0,0
1.104004,-0.01733398,-0.02905273,0.1832061,2.427481,0.5038168,0,1
1.102295,0.9411621,0.3481445,-250.1374,30.9084,17.07634,0,10
1.102051,0.1914063,1.179932,250.1298,106.855,116.6412,0,10
1.101074,-0.01464844,-0.04296875,0.259542,1.801527,1.152672,0,0
1.099121,0.01708984,-0.8200684,-105.8321,51.24427,-48.0916,0,1
1.0979,-0.05102539,-0.6599121,-41.0229,3.480916,-6.984733,0,1
1.097656,-0.009277344,-0.04248047,0.2137404,1.839695,1.083969,0,1
1.097412,0.03442383,-0.8312988,76.03053,-19.08397,46.33588,0,1
1.096924,-0.06616211,-0.7695313,-62.35878,-15.03053,-13.17557,0,1
1.09668,-0.6577148,-0.109375,113.1145,-13.1145,-161.1679,0,10
1.095947,-0.01293945,-0.04101563,0.4580153,1.664122,1.221374,0,0
1.095703,0.1774902,0.2302246,142.6565,-37.22137,18.33588,0,1
1.095703,0.1391602,-1.200928,-102.0305,44.41221,-30.46565,0,1
1.095459,0.5422363,-2.0,5.961832,-108.0153,-250.1374,0,10
1.095459,0.2023926,0.0402832,156.0,-66.229,39.89313,0,1
1.094238,0.03344727,-1.158203,50.83969,-15.71756,42.40458,0,1
1.093018,0.6247559,-1.571289,244.4046,-12.46565,-15.81679,0,10
1.093018,-0.08447266,0.8481445,25.32061,35.48092,188.2214,0,10
1.091309,0.06567383,-0.1506348,-94.84733,11.01527,-9.396947,0,1
1.091309,-0.004150391,-0.04638672,0.09923664,1.900763,1.244275,0,0
1.091064,0.03637695,-0.9492188,-100.0916,46.50382,-40.33588,0,1
1.090332,0.3422852,0.07128906,-11.22137,-0.7099237,9.297709,0,1
1.088867,-0.02832031,-0.1052246,0.4274809,1.732824,1.015267,0,0
1.088867,-0.001464844,-0.02026367,0.2671756,1.816794,0.9236641,0,0
1.088623,-0.01464844,-0.03393555,0.2977099,1.717557,0.8473283,0,0
1.088379,-0.01489258,-0.046875,0.3969466,1.473282,1.022901,0,0
1.088379,-0.01049805,-0.04418945,0.3129771,1.274809,1.10687,0,0
1.088379,-0.003417969,-0.03857422,0.2748091,1.580153,1.145038,0,0
1.088135,0.03344727,-0.03515625,0.4274809,1.908397,1.259542,0,0
1.088135,-0.03051758,-0.8486328,-107.6565,27.17557,-42.40458,0,1
1.087891,-0.1569824,0.08886719,-50.86259,44.59542,17.08397,0,10
1.08667,0.1101074,-0.7084961,142.6947,-85.15267,50.96947,0,1
1.086426,0.1105957,0.3515625,14.29008,-122.2672,-45.15267,0,10
1.086182,-0.05517578,-0.527832,-115.4657,28.54198,-45.92366,0,1
1.085449,0.02026367,-0.7905273,-198.7863,113.0,-44.21374,0,1
1.084717,-0.01904297,-0.03442383,0.09923664,1.854962,0.9389313,0,0
1.08374,-0.01782227,-0.03076172,0.4122138,1.633588,0.8625955,0,0
1.083252,-0.0004882813,-0.04589844,0.2671756,1.549618,1.40458,0,0
1.08252,-0.7006836,-0.3701172,108.1985,37.49618,-183.9313,0,10
1.08252,-0.007568359,-0.03662109,0.3053435,1.832061,0.9770992,0,0
1.082275,0.1938477,-1.096191,65.31298,-22.63359,30.25191,0,1
1.082275,-0.01000977,-0.03637695,0.2900764,1.610687,1.198473,0,0
1.082031,-0.1291504,0.189209,-43.25954,96.38931,22.76336,0,10
1.081787,-0.0002441406,-0.015625,0.1145038,1.59542,0.961832,0,1
